ind_id,ind_definition,reportyear,race_eth_code,race_eth_name,geotype,geotypevalue,geoname,subregion,county_fips,region_name,region_code,numerator,denominator,ratex1000,LL_95CI,UL_95CI,se,rse,CA_decile,RR_city2state,version,,lat,long
752,Number of Violent Crimes per 1000 Population,2006,9,Total,CO,6001,Alameda,alameda,6001,Bay Area,1,12412,1461954,8.49,8.34,8.64,0.08,0.9,,1.59,14APR13:11:23:30,,37.765205,-122.241638
752,Number of Violent Crimes per 1000 Population,2006,9,Total,CO,6003,Alpine,alpine,6003,Central/Southeast Sierra,3,13,1169,11.12,5.08,17.17,3.08,27.74,,2.09,14APR13:11:23:30,,32.8350500 -116.7664100,
752,Number of Violent Crimes per 1000 Population,2006,9,Total,CO,6005,Amador,amador,6005,Central/Southeast Sierra,3,131,38817,3.37,2.8,3.95,0.29,8.74,,0.63,14APR13:11:23:30,,38.48194,120.84472
752,Number of Violent Crimes per 1000 Population,2006,9,Total,CO,6007,Butte,butte,6007,Butte,2,787,216114,3.64,3.39,3.9,0.13,3.56,,0.68,14APR13:11:23:30,,39.746159-121.843834,
752,Number of Violent Crimes per 1000 Population,2006,9,Total,CO,6009,Calaveras,calaveras,6009,Central/Southeast Sierra,3,56,47293,1.18,0.87,1.49,0.16,13.36,,0.22,14APR13:11:23:30,,?38.12750,-120.85833
752,Number of Violent Crimes per 1000 Population,2006,9,Total,CO,6011,Colusa,colusa,6011,Northern Sacramento Valley,7,80,21285,3.76,2.93,4.58,0.42,11.18,,0.71,14APR13:11:23:30,,39.21444,-122.00944
752,Number of Violent Crimes per 1000 Population,2006,9,Total,CO,6013,Contra Costa,contra costa,6013,Bay Area,1,4797,1026953,4.67,4.54,4.8,0.07,1.44,,0.88,14APR13:11:23:30,,37.92611,-122.05389
752,Number of Violent Crimes per 1000 Population,2006,9,Total,CO,6015,Del Norte,del norte,6015,North Coast,5,94,28964,3.25,2.59,3.9,0.33,10.31,,0.61,14APR13:11:23:30,,41.84528,-123.96944
752,Number of Violent Crimes per 1000 Population,2006,9,Total,CO,6017,El Dorado,el dorado,6017,Sacramento Area,8,614,178434,3.44,3.17,3.71,0.14,4.04,,0.65,14APR13:11:23:30,,38.686295,-121.081268
752,Number of Violent Crimes per 1000 Population,2006,9,Total,CO,6019,Fresno,fresno,6019,San Joaquin Valley,10,4895,885487,5.53,5.37,5.68,0.08,1.43,,1.04,14APR13:11:23:30,,36.747727,-119.772366
752,Number of Violent Crimes per 1000 Population,2006,9,Total,CO,6021,Glenn,glenn,6021,Northern Sacramento Valley,7,77,28009,2.75,2.14,3.36,0.31,11.4,,0.52,14APR13:11:23:30,,39.52194,-122.01389
752,Number of Violent Crimes per 1000 Population,2006,9,Total,CO,6023,Humboldt,humboldt,6023,North Coast,5,408,129532,3.15,2.84,3.46,0.16,4.95,,0.59,14APR13:11:23:30,,40.8,-123.8
752,Number of Violent Crimes per 1000 Population,2006,9,Total,CO,6025,Imperial,imperial,6025,Southern California,14,663,157226,4.22,3.9,4.54,0.16,3.88,,0.79,14APR13:11:23:30,,32.95254,-115.01136
752,Number of Violent Crimes per 1000 Population,2006,9,Total,CO,6027,Inyo,inyo,6027,Central/Southeast Sierra,3,74,18320,4.04,3.12,4.96,0.47,11.62,,0.76,14APR13:11:23:30,,36.3092,-117.5496
752,Number of Violent Crimes per 1000 Population,2006,9,Total,CO,6029,Kern,kern,6029,San Joaquin Valley,10,4189,763641,5.49,5.32,5.65,0.08,1.55,,1.03,14APR13:11:23:30,,35.4937,-118.8597
752,Number of Violent Crimes per 1000 Population,2006,9,Total,CO,6031,Kings,kings,6031,San Joaquin Valley,10,535,144712,3.7,3.38,4.01,0.16,4.32,,0.69,14APR13:11:23:30,,36.0988,-119.8815
752,Number of Violent Crimes per 1000 Population,2006,9,Total,CO,6033,Lake,lake,6033,North Coast,5,329,65734,5.01,4.46,5.55,0.28,5.51,,0.94,14APR13:11:23:30,,39.084,-122.8084
752,Number of Violent Crimes per 1000 Population,2006,9,Total,CO,6035,Lassen,lassen,6035,Northeast Sierra,6,89,35064,2.54,2.01,3.07,0.27,10.6,,0.48,14APR13:11:23:30,,40.5394,-120.712
